operation,size_n,element_count,engine,cycles,instructions_retired,stall_count,forwarding_events
vecadd,1,1,cpu,37,32,1,1
vecadd,1,1,accelerator,39,31,2,2
vecadd,4,4,cpu,109,89,4,4
vecadd,4,4,accelerator,72,58,2,2
vecadd,16,16,cpu,397,317,16,16
vecadd,16,16,accelerator,216,172,4,4
vecadd,64,64,cpu,1549,1229,64,64
vecadd,64,64,accelerator,792,628,12,12
dot,1,1,cpu,64,48,0,0
dot,1,1,accelerator,39,31,2,2
dot,4,4,cpu,238,170,0,0
dot,4,4,accelerator,72,58,2,2
dot,16,16,cpu,1086,762,0,0
dot,16,16,accelerator,216,172,4,4
dot,64,64,cpu,5270,3682,0,0
dot,64,64,accelerator,792,628,12,12
matmul,2,4,cpu,501,381,0,0
matmul,2,4,accelerator,96,79,3,3
matmul,4,16,cpu,3857,2809,0,0
matmul,4,16,accelerator,324,256,12,12
matmul,8,64,cpu,32885,23429,0,0
matmul,8,64,accelerator,1458,1069,87,87
