operation,size_n,element_count,engine,cycles,instructions_retired,stall_count,forwarding_events
vecadd,2,2,cpu,61,51,2,2
vecadd,2,2,accelerator,50,40,2,2
vecadd,3,3,cpu,85,70,3,3
vecadd,3,3,accelerator,61,49,2,2
vecadd,8,8,cpu,205,165,8,8
vecadd,8,8,accelerator,122,97,3,3
vecadd,32,32,cpu,781,621,32,32
vecadd,32,32,accelerator,410,325,7,7
dot,2,2,cpu,115,85,0,0
dot,2,2,accelerator,50,40,2,2
dot,3,3,cpu,177,127,0,0
dot,3,3,accelerator,61,49,2,2
dot,8,8,cpu,502,354,0,0
dot,8,8,accelerator,122,97,3,3
dot,32,32,cpu,2386,1670,0,0
dot,32,32,accelerator,410,325,7,7
matmul,1,1,cpu,88,72,0,0
matmul,1,1,accelerator,45,37,2,2
