operation,size_n,cpu_cycles,accelerator_cycles,speedup,winner
dot,1,64,39,1.641025641025641,accelerator
dot,2,115,50,2.3,accelerator
dot,3,177,61,2.901639344262295,accelerator
dot,4,238,72,3.3055555555555554,accelerator
dot,8,502,122,4.114754098360656,accelerator
dot,16,1086,216,5.027777777777778,accelerator
dot,32,2386,410,5.819512195121951,accelerator
dot,64,5270,792,6.654040404040404,accelerator
matmul,1,88,45,1.9555555555555555,accelerator
matmul,2,501,96,5.21875,accelerator
matmul,4,3857,324,11.904320987654321,accelerator
matmul,8,32885,1458,22.554869684499312,accelerator
vecadd,1,37,39,0.9487179487179487,cpu
vecadd,2,61,50,1.22,accelerator
vecadd,3,85,61,1.3934426229508197,accelerator
vecadd,4,109,72,1.5138888888888888,accelerator
vecadd,8,205,122,1.680327868852459,accelerator
vecadd,16,397,216,1.837962962962963,accelerator
vecadd,32,781,410,1.9048780487804877,accelerator
vecadd,64,1549,792,1.9558080808080809,accelerator
